xc,Cp
0.00245098,0.952506597
0.00245098,0.034300811
0.007352941,-0.401055381
0.019607843,-0.686015797
0.039215686,-0.84432714
0.053921569,-1.034300751
0.071078431,-1.14511869
0.090686275,-1.153034257
0.115196078,-1.232189929
0.147058824,-1.295514466
0.181372549,-1.3113456
0.220588235,-1.335092301
0.269607843,-1.358839003
0.303921569,-1.343007868
0.333333333,-1.319261167
0.357843137,-1.303430033
0.384803922,-1.271767764
0.409313725,-1.192612093
0.431372549,-1.160949825
0.450980392,-1.14511869
0.475490196,-1.121371989
0.492647059,-1.073878586
0.507352941,-0.804749304
0.524509804,-0.717678066
0.541666667,-0.662269096
0.56127451,-0.598944559
0.580882353,-0.535620022
0.598039216,-0.488126619
0.620098039,-0.416886515
0.647058824,-0.361477545
0.681372549,-0.250659605
0.713235294,-0.171503934
0.75245098,-0.084432696
0.791666667,-0.005277025
0.833333333,0.073878647
0.860294118,0.097625348
0.899509804,0.160949885
0.93627451,0.184696586
0.963235294,0.192612153
0.99754902,0.097625348
0.977941176,0.073878647
0.948529412,0.01055411
0.924019608,-0.036939293
0.894607843,-0.060685994
0.862745098,-0.068601562
0.828431373,-0.076517129
0.796568627,-0.068601562
0.764705882,-0.060685994
0.725490196,-0.060685994
0.68627451,-0.04485486
0.647058824,-0.036939293
0.607843137,-0.036939293
0.578431373,-0.013192592
0.531862745,-0.013192592
0.482843137,0.018469677
0.424019608,0.034300811
0.370098039,0.050131945
0.323529412,0.081794214
0.294117647,0.097625348
0.25245098,0.113456482
0.223039216,0.137203184
0.18872549,0.153034318
0.154411765,0.168865452
0.12745098,0.208443288
0.095588235,0.248021123
0.078431373,0.279683392
0.058823529,0.319261227
0.039215686,0.390501332
0.039215686,0.398416899
0.017156863,0.493403704
0.009803922,0.667546181
0,0.94459103
